# Targets suitable for FIRST ORDER single dish pointing in SARAO RTS/DVS UHF - Ku-band (strong but not accurate)
# ID       |  Name(s),                                        tag,   RA(J2000),     dec(J2000),   flux polynomial,                                               uncertainty[arcsec] source,     Gal l,  Gal b,~1400MHz flx,redshift,NED Object type     IRAS/X-ray  s-dish comment
J1330+2509 | 3C287,                                          radec gaincal, 13:30:37.69, +25:09:10.9, (80 14900 1.0388 0.5265 -0.2145 0.0089),

J1331+3030 | 3C 286,                                         radec, 13:31:08.29,  +30:30:33.0,  (1408.0 43200.0 0.956 0.584 -0.1644),                           mas        VLBI 2.3/8.4 GHz,    56.52,  80.67,     15 Jy,  z=0.85,  DLAS; Sy 1.5; core-do  X          ok   <~5"; primary flux calib (no variab)               

J1411+5212 | 3C 295,                                         radec, 14:11:20.46,  +52:12:09.5,  (1408.0 32000.0 1.49 0.756 -0.2545),                            1.25x1.25  2Mass,               97.51,  60.80,     22 Jy,  z=0.46,  E/S0; NLRG; FRII       X          ok   ~10"; ext double lobe; no core; no flux var: prim flux calib      

J1651+0459 | Her A | Hercules A | 3C 348 | PKS 1648+05,      radec, 16:51:08.02,  +04:59:34.9,  (1408.0 10550.0 3.852 -0.361 -0.1053),                          1.25x1.25  2Mass,               23.05,  28.95,     48,  z=0.15,  i.a. E/S0 pair; NLRG   X          no   ~5'; FRI/FRII                     

J1720-0058 | 3C 353 | PKS 1717-00,                           radec, 17:20:28.15,  -00:58:47.1,  (1408.0 10550.0 3.148 -0.157 -0.0911),                          1.25x1.25  2Mass,               21.20,  19.65,     56 Jy,  v=9120,  S0; NLRG                          no   ~5'; FRII               

J1745-2900 | Sgr A | Sagittarius A | CTB 42,                 radec, 17:46:06, -28:51:0,         (1000.0 10000.0 4.32 -0.55),                                    mas        VLA high-fr,        359.94,  -0.04,     ?? Jy,        ,  MBH                    X; Gam     no                 

J1959+4044 | Cyg A | Cygnus A | 3C 405,                      radec, 19:59:28.36,  +40:44:02.1,  (20.0 2000.0 4.695 0.085 -0.178),                               mas        VLBI,                76.19,   5.76,   1590,  z=0.06,  Sy 2                   I; X       ok   ~3'; double radio src; cD; FRII                 

J2123+2504 | 3C 433,                                         radec, 21:23:44.58,  +25:04:27.23,  (20.0 6000.0 2.29 0.1239 -0.1597),                             0.8x0.7    Texas Int 365 MHz,   74.48, -17.69,     11 Jy,  z=0.10,  Sy 2; NLRG; FRI                   ok   <2'; edge-darkened appearance                 

J2223-0206 | PKS 2223-0206 | 3C445,                          radec, 22:23:49.7, -02:06:13, ,                                                                                                                                     ; Elliptical Galaxy < 0.3arcmin

J2225-0457 | PKS 2223-052 | 3C446,                           radec gaincal, 22:25:47.26, -04:57:01.39

J2253+1608 | PKS 2251+158 | 3C454.3,                         radec gaincal, 22:53:57.75, 16:08:53.56

J233828+270126 | 3C 465,                                     radec, 23:38:29.39, +27:01:53.2, ,                                                                            CRATES

# These planets yield T_a>0.15K in ~14m dish at 12GHz (i.e. 20sigma if Tsys=130K, BW=700MHz & dT=1sec)
Venus,                                                       special
Jupiter,                                                     special
Saturn,                                                      special
