# ID | Name(s)                                , tag  ,   RA(J2000),  Dec(J2000), katpoint flux polynomial, katsemodel flux polynomial, linpol(frac), pol angle(deg), mean width(arcmin), shape   , Key for model       , Comments
# 
# Targets with flux models, specifically as used for DVS "single dish" tests i.e. may be resolved on long baselines.

# Taurus A: Polarisation from Vinyaikin 2007, linpol agrees with Baars 1973 at <10GHz and angle agrees with Baars 1973 at >=3GHz;Width is Perley & Butler 2017's LAS/3 to be half power width for a Gaussian
# The best data for temporal scaling [Macias-Perez et al 2010] is -0.18% at ~1 GHz (WMAP 7yr suggests 0.22% at >30 GHz)
J1651+0459 | Hercules A | 3C 348 | PKS 1648+05, radec, 16:51:08.02, +04:59:34.9, (300 10550.0 3.852 -0.361 -0.1053)                , , 0.006+0.018*fGHz, 50        , 2.5               , disc    , Ott 1994            ,
J1651+0459 | Hercules A | 3C 348 | PKS 1648+05, radec, 16:51:08.02, +04:59:34.9, (300 10700 4.963 -1.052 0)                        , , 0.006+0.018*fGHz, 50        , 2.5               , disc    , Baars 1977          , Baars Genzel Pauliny-Toth & Witzel 1977


# Pictor A: Polarisation from Gardner & Davies 1966, but falls off rapidly below 600 MHz (not modeled!); Width from Perley & Butler 2017, Fig 9 shows two peaks separated by ~45sec in RA -> 11arcmin "top-hat" for a scan in HA at constant declination
J0519-4546 | Pictor A | PKS 0518-45           , radec, 05:19:49.69, -45:46:44.5, , (1.9380 -0.7470 -0.0739 coeff_freq=1e9)           , 0.0209+0.0034*fGHz, 150, 11                     , disc    , Perley & Butler 2017, Over 0.2 - 4 GHz
J0519-4546 | Pictor A | PKS 0518-45           , radec, 05:19:49.69, -45:46:44.5, (300 5009.0 -1.265 3.036 -0.653)                  , , 0.0209+0.0034*fGHz, 150, 11                     , disc    , SARAO               , From sources_all.csv


# Virgo A: Polarisation < 1% up to 5GHz from Baars 1977; Width from Perley & Butler 2017's LAS/3 as half power width for Gaussian, ignoring complicated structure on scales < 10 arcmin
J1230+1223 | Virgo A | 3C 274 | M87 | PKS 1228+12, radec, 12:30:49.42, +12:23:28.0, , (2.4466 -0.8116 -0.0483 coeff_freq=1e9)        , 0            , 0            , 4.7               , gaussian, Perley & Butler 2017, Over 0.05 - 3 GHz
J1230+1223 | Virgo A | 3C 274 | M87 | PKS 1228+12, radec, 12:30:49.42, +12:23:28.0, (300 10550.0 4.484 -0.603 -0.0280)             , , 0            , 0            , 4.7               , gaussian, SARAO               , From sources_all.csv


# PKS 0408-65: Polarisation < 0.02% at 1.4GHz from Taylor & Legodi 2021; Width assumed 0 since it's a Quasar used in the ICRF
J0408-6545 | 1Jy 0407-65 | J0408-6544 | PKS 0408-65, radec, 04:08:20.38,-65:45:09.1, (200 12000 3.061 -0.09748 -0.1612)            , , 0            , 0            , 0                 , gaussian, PKSCAT90, katpoint/scripts/pkscat90_source_list.csv
J0408-6545 | 1Jy 0407-65 | J0408-6544 | PKS 0408-65, radec, 04:08:20.38,-65:45:09.1, (468 5009 4.82 -1.15)                         , , 0            , 0            , 0                 , gaussian, Kuhr 1981, A Catalog of Extragalactic Radio Sources Having Flux Densities Greater Than 1 Jy at 5 GHz
J0408-6545 | 1Jy 0407-65 | J0408-6544 | PKS 0408-65, radec, 04:08:20.38,-65:45:09.1, (145. 18000. -0.9790 3.3662 -1.1216 0.0861)   , , 0            , 0            , 0                 , gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv


# 3C286: Polarisation ~10% @ 33deg over 1 - 40GHz from Perley & Butler 2014; Width from Perley & Butler 2017's LAS/3 as half power width for Gaussian
J1331+3030 | 3C286                            , radec, 13:31:08.29, +30:30:32.96, , (1.2481 -0.4507 -0.1798 0.0357 coeff_freq=1e9)   , 0.1          , 33           , 1.2               , gaussian, Perley & Butler 2017, Over 0.05 - 50 GHz
J1331+3030 | 3C286                            , radec, 13:31:08.29, +30:30:32.96, (50. 50000 0.0181 1.5920 -0.5011 0.0357)         , , 0.1          , 33           , 1.2               , gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv


# 3C138: Polarisation approx to Perley & Butler 2014; Width from Perley & Butler 2017's LAS/3 as half power width for Gaussian
J0521+1638 | 3C138 | PKS 0518+16              , radec, 05:21:09.89, +16:38:22.1, , (1.0088 -0.4981 -0.1552 -0.0102 0.0223 coeff_freq=1e9)       , 8 , -10          , 0.22              , gaussian, Perley & Butler 2017, Over 0.2 - 50 GHz
J0521+1638 | 3C138 | PKS 0518+16              , radec, 05:21:09.89, +16:38:22.1, (1410.0 8400.0 -1.32934004351 1.91278744917 -0.376296576679) , , 8 , -10          , 0.22              , gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv


# Copied from github.com/ska-sa/katsdpcatalogues/../cals_Lband.csv on 17/11/2021
J0010-4153 | 0008-421,radec gaincal,00:10:52.52,-41:53:10.8,(145. 20000. -16.9316 15.3898 -4.2105 0.3496),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0025-2602 | 0023-263,radec gaincal,00:25:49.17,-26:02:12.8,(333. 99000. -8.4450 9.2780 -2.7801 0.2499),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0059+0006 | 0056-001,radec gaincal,00:59:05.53,+00:06:51.5,(74.   8400. -0.9051 1.8362 -0.6141 0.0518),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0137+3309 | 3C48,radec,01:37:41.29,+33:09:35.13,,(1.3253 -0.7553 -0.1914 0.0498 coeff_freq=1e9), 0.005+0.0061*fGHz-0.0012*fGHz**2, -67-100*np.exp(-(fGHz-1)/2), 0.4, gaussian, SARAO, Perley & Butler 2017, Over 0.05 - 50 GHz; Polarisation approx to Perley & Butler 2014; Width from Perley & Butler 2017's LAS/3 as half power width for Gaussian; SLOW VARIABLE!
J0137+3309 | 3C48,radec bpcal,01:37:41.29,+33:09:35.13,(50. 50000. 0.5240 1.7377 -0.6396 0.0498),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0203-4349 | 0201-440,radec gaincal,02:03:40.754300,-43:49:50.783,(80.  22000. 1.4053 0.1893 -0.1654 0.0030),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0240-2309 | 0237-233,radec gaincal,02:40:08.14,-23:09:16.0,(365. 43000. -23.5170 20.5047 -5.5855 0.4851),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0252-7104 | 0252-712,radec bpcal,02:52:46.31,-71:04:36.2,(145. 20000. 1.1245 0.7190 -0.2955 0.0096),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0318+1628 | CTA21,radec gaincal,03:18:57.77,16:28:33.1,(318. 43000. -13.4672 12.4587 -3.4110 0.2867),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0405-1308 | 0403-132,radec gaincal,04:05:33.94,-13:08:14.4,(74.  22000. -0.8395 2.4438 -0.9451 0.1006),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0420-6223 | 0420-625,radec gaincal,04:20:56.19,-62:23:37.6,(145. 20000. 4.7772 -2.1190 0.3788 -0.0433),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0534+1927 | 0531+194,radec gaincal,05:34:44.51,+19:27:21.7,(74.  22000. -3.4915 5.0261 -1.6476 0.1549),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0616-3456 | 0614-349,radec gaincal,06:16:35.981369,-34:56:16.5633960,(80.  20000. 1.6678 -0.2215 -0.0396 -0.0044),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0825-5010 | 0823-500,radec bpcal,08:25:26.86,-50:10:38.486,(408. 22000. -33.5795 27.9753 -7.3670 0.6198),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J0906-6829 | 0906-682,radec gaincal,09:06:52.23,-68:29:39.9,(145. 20000. 0.7680 1.3416 -0.6601 0.0573),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1008+0730 | 3C237,radec gaincal,10:08:00.016,+07:30:16.552,(145. 43000. 3.1549 -1.0771 0.2183 -0.0356),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1051-2023 | 1049-201,radec gaincal,10:51:32.11,-20:23:47.9,(74.  20000. 2.3790 -1.0425 0.2814 -0.0538),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1120-2508 | 1117-248,radec gaincal,11:20:09.14,-25:08:07.2,(74.  20000. -2.3434 2.3685 -0.5616 0.0226),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1130-1449 | 1127-145,radec bpcal,11:30:07.05,-14:49:27.2,(302. 20000. -4.7962 4.3260 -1.0387 0.0710),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1150-0023 | 1148-001,radec gaincal,11:50:43.870761,-00:23:54.204900,(80.  99000. 2.6701 -2.1297 0.7214 -0.0857),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
J1154-3505 | 1151-348,radec gaincal,11:54:21.76,-35:05:29.4,(75.  43000. -2.9686 3.9700 -1.2009 0.1020),,  0,0,0,gaussian, SARAO, katsdpcatalogues/../cals_Lband.csv
