# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_V_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Vpol_ND_OFF.csv, spectrum analyser output from same input, with ~413MHz corrected manually.
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
56453346.36052760,-61.79342289,1.54757290
56871519.29653151,-61.56375221,1.77724358
57289692.23253541,-61.32559357,2.01540222
57707865.16853932,-61.09773078,2.24326501
58126038.10454323,-60.87881551,2.46218028
58544211.04054714,-60.65245556,2.68854023
58962383.97655105,-60.41946398,2.92153181
59380556.91255496,-60.21003780,3.13095799
59798729.84855887,-59.98372226,3.35727353
60216902.78456277,-59.77026529,3.57073050
60635075.72056668,-59.55183066,3.78916513
61053248.65657059,-59.33450185,4.00649394
61471421.59257450,-59.12456780,4.21642799
61889594.52857841,-58.92398317,4.41701262
62307767.46458232,-58.70341445,4.63758134
62725940.40058623,-58.50276665,4.83822914
63144113.33659013,-58.30424169,5.03675410
63562286.27259403,-58.09213080,5.24886498
63980459.20859794,-57.89039245,5.45060334
64398632.14460185,-57.69217462,5.64882117
64816805.08060576,-57.50762850,5.83336728
65234978.01660967,-57.30688941,6.03410638
65653150.95261358,-57.10894598,6.23204980
66071323.88861749,-56.93704735,6.40394843
66489496.82462139,-56.74503257,6.59596322
66907669.76062530,-56.56401067,6.77698512
67325842.69662921,-56.38565943,6.95533636
67744015.63263312,-56.19219984,7.14879595
68162188.56863703,-56.01754644,7.32344935
68580361.50464094,-55.84476851,7.49622728
68998534.44064485,-55.66531443,7.67568136
69416707.37664875,-55.49802140,7.84297439
69834880.31265266,-55.33641066,8.00458513
70253053.24865657,-55.16578479,8.17521100
70671226.18466048,-55.00297166,8.33802413
71089399.12066439,-54.84782855,8.49316724
71507572.05666830,-54.68578650,8.65520929
71925744.99267220,-54.53464360,8.80635219
72343917.92867611,-54.37089273,8.97010306
72762090.86468002,-54.22235272,9.11864307
73180263.80068393,-54.07942843,9.26156736
73598436.73668784,-53.92366367,9.41733211
74016609.67269175,-53.76989890,9.57109689
74434782.60869566,-53.63391526,9.70708053
74852955.54469956,-53.49212481,9.84887098
75271128.48070347,-53.35451007,9.98648572
75689301.41670738,-53.22118944,10.11980635
76107474.35271129,-53.07767350,10.26332229
76525647.28871518,-52.94894939,10.39204640
76943820.22471909,-52.81507468,10.52592111
77361993.16072300,-52.68088947,10.66010632
