# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_H_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Hpol_ND_OFF.csv, spectrum analyser output from same input. 3
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
56453346.36052760,-73.27240991,-10.02489328
56871519.29653151,-72.99719681,-9.74968018
57289692.23253541,-72.73458973,-9.48707310
57707865.16853932,-72.45892257,-9.21140593
58126038.10454323,-72.18530272,-8.93778608
58544211.04054714,-71.91778083,-8.67026419
58962383.97655105,-71.63474011,-8.38722348
59380556.91255496,-71.36439115,-8.11687452
59798729.84855887,-71.10439602,-7.85687939
60216902.78456277,-70.82196901,-7.57445238
60635075.72056668,-70.54281996,-7.29530332
61053248.65657059,-70.26906320,-7.02154657
61471421.59257450,-69.99995353,-6.75243689
61889594.52857841,-69.72939486,-6.48187823
62307767.46458232,-69.46464208,-6.21712544
62725940.40058623,-69.18793796,-5.94042133
63144113.33659013,-68.90660367,-5.65908704
63562286.27259403,-68.63967024,-5.39215361
63980459.20859794,-68.36806425,-5.12054762
64398632.14460185,-68.10290644,-4.85538981
64816805.08060576,-67.82185179,-4.57433515
65234978.01660967,-67.57493172,-4.32741509
65653150.95261358,-67.30662849,-4.05911186
66071323.88861749,-67.04918356,-3.80166693
66489496.82462139,-66.78277869,-3.53526205
66907669.76062530,-66.51882774,-3.27131111
67325842.69662921,-66.25330462,-3.00578799
67744015.63263312,-66.00187934,-2.75436271
68162188.56863703,-65.74581964,-2.49830301
68580361.50464094,-65.48084013,-2.23332350
68998534.44064485,-65.23137523,-1.98385860
69416707.37664875,-64.98916171,-1.74164508
69834880.31265266,-64.73076862,-1.48325199
70253053.24865657,-64.46517367,-1.21765704
70671226.18466048,-64.23124017,-0.98372354
71089399.12066439,-63.98639065,-0.73887402
71507572.05666830,-63.73972720,-0.49221057
71925744.99267220,-63.48714172,-0.23962509
72343917.92867611,-63.25836712,-0.01085048
72762090.86468002,-63.02566096,0.22185567
73180263.80068393,-62.78231545,0.46520118
73598436.73668784,-62.54279270,0.70472394
74016609.67269175,-62.30624861,0.94126802
74434782.60869566,-62.07207599,1.17544065
74852955.54469956,-61.85124761,1.39626902
75271128.48070347,-61.62052273,1.62699390
75689301.41670738,-61.39243435,1.85508228
76107474.35271129,-61.17740279,2.07011384
76525647.28871518,-60.95440978,2.29310686
76943820.22471909,-60.73820503,2.50931160
77361993.16072300,-60.52020060,2.72731603
77780166.09672691,-60.29414235,2.95337428
78198339.03273082,-60.09388850,3.15362813
78616511.96873473,-59.87593430,3.37158234
79034684.90473863,-59.67169889,3.57581774
79452857.84074254,-59.47064952,3.77686711
79871030.77674645,-59.25300559,3.99451104
80289203.71275036,-59.05044241,4.19707423
80707376.64875427,-58.86218889,4.38532775
81125549.58475818,-58.65862630,4.58889034
81543722.52076209,-58.46293619,4.78458044
81961895.45676599,-58.26204409,4.98547255
82380068.39276990,-58.07236692,5.17514971
82798241.32877381,-57.88331933,5.36419730
83216414.26477772,-57.70028198,5.54723466
83634587.20078163,-57.51856006,5.72895657
84052760.13678554,-57.33624688,5.91126975
84470933.07278945,-57.15418548,6.09333115
84889106.00879335,-56.98066034,6.26685629
85307278.94479726,-56.81230872,6.43520791
85725451.88080117,-56.63414908,6.61336755
86143624.81680508,-56.45362801,6.79388862
86561797.75280899,-56.28749291,6.96002373
86979970.68881290,-56.12814413,7.11937250
87398143.62481681,-55.95979845,7.28771818
87816316.56082071,-55.80147626,7.44604037
88234489.49682462,-55.64412408,7.60339256
88652662.43282853,-55.48268741,7.76482922
89070835.36883244,-55.33948253,7.90803410
89489008.30483635,-55.16515253,8.08236411
89907181.24084026,-55.02207878,8.22543785
90325354.17684416,-54.87422494,8.37631986
90743527.11284807,-54.72613004,8.52830681
91161700.04885198,-54.57423997,8.68408894
91579872.98485589,-54.44350652,8.81871445
91998045.92085980,-54.28727437,8.97883866
92416218.85686371,-54.15438442,9.11562066
92834391.79286762,-54.00963550,9.26426164
93252564.72887151,-53.86141506,9.41637414
93670737.66487542,-53.74603841,9.53564285
94088910.60087933,-53.59505860,9.69051472
94507083.53688323,-53.47596800,9.81349737
94925256.47288714,-53.35139286,9.94196458
95343429.40889105,-53.21883755,10.07841194
95761602.34489496,-53.07730302,10.22383853
96179775.28089887,-52.95817656,10.34685705
96597948.21690278,-52.84059020,10.46833546
97016121.15290669,-52.71079399,10.60202373
97434294.08891059,-52.58446506,10.73224472
97852467.02491450,-52.47464780,10.84595404
98270639.96091841,-52.34625054,10.97824335
