#ZA [deg]	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz	H @ _ MHz	V @ _ MHz
42	4.1866	4.0845	3.7744	3.8811	3.5410	3.9507	3.4068	3.9793	2.6551	2.9453	2.6005	2.3398
43	4.1882	4.0785	3.7718	3.8785	3.5347	3.9448	3.3998	3.9733	2.6498	2.9405	2.6044	2.3425
44	4.1899	4.0734	3.7692	3.8773	3.5291	3.9402	3.3932	3.9683	2.6457	2.9365	2.6091	2.3466
45	4.1916	4.0692	3.7670	3.8776	3.5241	3.9371	3.3873	3.9645	2.6431	2.9333	2.6144	2.3521
46	4.1930	4.0657	3.7651	3.8794	3.5199	3.9354	3.3822	3.9619	2.6420	2.9309	2.6201	2.3589
47	4.1943	4.0631	3.7637	3.8829	3.5169	3.9353	3.3782	3.9606	2.6426	2.9293	2.6263	2.3670
48	4.1955	4.0614	3.7627	3.8878	3.5152	3.9365	3.3755	3.9604	2.6448	2.9286	2.6330	2.3764
49	4.1966	4.0608	3.7624	3.8941	3.5149	3.9390	3.3745	3.9616	2.6487	2.9287	2.6402	2.3870
50	4.1979	4.0613	3.7630	3.9016	3.5161	3.9430	3.3752	3.9640	2.6542	2.9297	2.6479	2.3989
51	4.1993	4.0628	3.7646	3.9103	3.5191	3.9483	3.3778	3.9676	2.6609	2.9316	2.6562	2.4118
52	4.2014	4.0654	3.7675	3.9198	3.5239	3.9548	3.3823	3.9722	2.6688	2.9345	2.6652	2.4258
53	4.2041	4.0689	3.7716	3.9300	3.5306	3.9624	3.3888	3.9776	2.6776	2.9383	2.6750	2.4408
54	4.2078	4.0733	3.7773	3.9409	3.5392	3.9707	3.3972	3.9838	2.6873	2.9430	2.6856	2.4568
55	4.2127	4.0782	3.7844	3.9522	3.5497	3.9796	3.4076	3.9905	2.6979	2.9485	2.6972	2.4739
56	4.2189	4.0836	3.7929	3.9638	3.5622	3.9892	3.4196	3.9980	2.7095	2.9549	2.7097	2.4921
57	4.2266	4.0891	3.8028	3.9756	3.5765	3.9992	3.4334	4.0061	2.7223	2.9622	2.7231	2.5114
58	4.2357	4.0945	3.8139	3.9875	3.5927	4.0096	3.4489	4.0149	2.7366	2.9702	2.7375	2.5318
59	4.2463	4.0997	3.8262	3.9995	3.6106	4.0204	3.4661	4.0244	2.7524	2.9789	2.7528	2.5531
60	4.2581	4.1046	3.8396	4.0114	3.6303	4.0314	3.4847	4.0343	2.7700	2.9879	2.7690	2.5752
61	4.2710	4.1093	3.8540	4.0233	3.6516	4.0424	3.5049	4.0445	2.7892	2.9970	2.7859	2.5978
62	4.2849	4.1139	3.8694	4.0350	3.6742	4.0533	3.5266	4.0547	2.8103	3.0059	2.8032	2.6207
63	4.2997	4.1185	3.8857	4.0466	3.6981	4.0638	3.5497	4.0648	2.8331	3.0143	2.8210	2.6436
64	4.3150	4.1230	3.9028	4.0578	3.7232	4.0737	3.5744	4.0746	2.8574	3.0224	2.8392	2.6664
