# https://docs.google.com/document/d/1KuUgt05_h7IhXeArFLno2KMq7XKO943JaA1TpT7gHpA
# Entries collected from gaincal_l_5jy.csv, sources_pnt_Ku.csv, sources_all.csv, some coordinates updated from SIMBAD, INAF = Table 3 of "A First Extended Catalogue of Pointing/Focus Calibrators for the Sardinia Radio Telescope"
# ID       |  Name(s),                                        tag,   RA(J2000),     dec(J2000,)   flux polynomial,                                               unc[arcsec] source,             Gal l,  Gal b,~1400MHz flx,redshift,NED Object type     IRAS/X-ray  s-dish comment

# Numbers in comments below from <katselib.plot_scans(katdal.open(...), target_plane=True, ants=["m028"], pols=["HH"], chans=(500,4000))>

#J0408-6545 | PKS 0408-65,                                    radec, 04:08:20.38,  -65:45:09.1,  (1410.0 8400.0 -3.70830186533 3.80739194577 -0.720249171902),   mas        VLBI 2.3/8.4 GHz,   278.64, -40.88,     15 Jy,  z=0.96,  BLLAC?                            ok   compact; GPS source             

# 21082021 11.7GHz: 0.2,0.2 [NO]
#J0408-7507 | PKS 0410-75,                                    radec, 04:08:48.49,  -75:07:19.3,  (200.0 12000.0 1.362 0.7345 -0.254),                            7.5x7.5    Molonglo 408 MHz,   288.98, -36.13,     14 Jy,  z=0.69,  NLRG                              ok   ~15"; FRII; lobe-domin; pol.                 

# 21082021 11.7GHz: 0,0
#J042904-534927 | IC 2082E,radec,04: 29: 08.19,-53: 49: 40.5,,CRATES

# 21082021 11.7GHz: 0, weak [NO]
#J0431+2037 | PKS 0428+205, radec gaincal, 04:31:03.7620, +20:37:34.250, ()

# 21082021 11.7GHz: 0.6 [DESPERATE]
J0437+2940 | 3C 123,                                         radec, 04:37:04.38,  +29:40:13.8,  (1408.0 23780.0 2.525 0.246 -0.1638),                           mas        VLBI 2.3/8.4 GHz,   170.58, -11.66,     47 Jy,  z=0.22,  LERG; FRII             X          ok   <1'                 

# 21082021 11.7GHz: 0.4,0.5 [DESPERATE]
J0440-4333 | PKS 0438-43,                                    radec, 04:40:17.18,  -43:33:08.6,  (1410.0 8400.0 -4.82850957757 3.82855552335 -0.639544506483),   mas        VLBI 2.3/8.4 GHz,   248.41, -41.57,      6 Jy,  z=2.86,  QSO                    IRAS deep  ok   ~compact; 2-comp              

# 21082021 11.7GHz: 1.0,1.0, [DESPERATE]
J0519-4546 | Pic A | Pictor A | PKS 0518-45,                 radec, 05:19:49.72,  -45:46:43.9,  (635.0 5009.0 -1.265 3.036 -0.653),                             1.25x1.25  MOST,               251.60, -34.63,     69 Jy,  z=0.04,  LINER; S0 pec          X          no   ~6'; strong double lobes; FRII                 

# 21082021 11.7GHz: 0.3 [NO]
#J0521+1638 | 3C 138 | PKS 0518+16,                           radec, 05:21:09.89,  +16:38:22.1,  (1410.0 8400.0 -1.32934004351 1.91278744917 -0.376296576679),   mas        VLBI 2.3/8.4 GHz,   187.40, -11.34,      9 Jy,  z=0.76,  Sy 1.5; core-dom       X          ok   compact <1"; CSS src; pol; triple-comp; no flux var: flux calib   

# 21082021 11.7GHz: 0.7,0.8 [DESPERATE]
J0522-3627 | PKS 0521-36 | ESO 362-G021,                     radec, 05:22:57.99,  -36:27:30.9,  (1410.0 8400.0 -0.476553541789 1.38252143286 -0.268873301084),  mas        VLBI 2.3/8.4 GHz,   240.61, -32.72,     17 Jy,  z=0.06,  E; FRI; BLLAC; Sy 1    I; X; Gam  ok   arcsec scale; core & jet                   

# 21082021 11.7GHz: 50 [GOLD]
J0534+2200 | Tau A | Taurus A | 3C 144 | Crab | PKS 0531+21, radec, 05:34:31.94,  +22:00:52.2,  (1400.0 10000.0 3.915 -0.299),                                  0.5x0.5    opt/psr,            184.56,  -5.78,    930 Jy,        ,  SNR; Psr               I; X; Gam  no   ~5' @ 160MHz; single comp           

# 21082021 11.7GHz: 32. Poorly defined centroid [TESTS]
J0535-0523 | Ori A | Orion A | M42 | 3C 145 | PKS 0532-05,   radec, 05:35:17.26,  -05:23:28.8,  (1000.0 10000.0 -0.429874080747 1.64134149914 -0.219515164089), 7.5x7.5    Molonglo 408MHz,    209.01, -19.38,    410 Jy,        ,  HII; Cl                X          no   < ~60'?                       

# 21082021 11.7GHz: 1.9,1.8,2.2,2.4 [YES]
J0538-6904 | J053844-690542 | MC 74,                                          radec, 05:38:44.26,  -69:05:42.4,  (200.0 12000.0 -3.94 3.799 -0.6469),                           50x50       PKS,                279.44, -31.67,     34 Jy,        ,  HII                               no   prob ext'd; in 30 Dor                   

# 21082021 11.7GHz: 5.2 [GOLD]
J0541-0153 | 3C 147.1 | PKS 0539-01,                         radec, 05:41:42.60,  -01:54:17.0,  (100.0 6000.0 -3.564 3.208 -0.4861),                           12.5x12.5   Molonglo 408 MHz,   206.53, -16.36,     64 Jy,        ,  HII                               no   prob ext'd               

# 21082021 11.7GHz: 0.4 [DESPERATE/NO]
J0627-0553 | 3C 161 | PKS 0624-05,                           radec, 06:27:10.06,  -05:53:06.0,  (1408.0 10550.0 1.250 0.726 -0.2286),                           0.4x0.4    PKS90,              215.44,  -8.07,     18 Jy,        ,  --                                ok?  VLA resolved; symm double, NED           

# 21082021 11.7GHz: 0.3,0.3 [NO]
#J063542-751615 | ATPMN J063546.4-751616,radec,06: 35: 46.46,-75: 16: 16.7,,CRATES

# 082021 11.7GHz: 0,0,indistinct
#J074328-672617 | ATPMN J074331.6-672625,radec,07: 43: 31.59,-67: 26: 25.6,,CRATES

# 21082021 11.7GHz: 0.7 [DESPERATE]
J0752-2625 | PKS 0750-26 | OHIO I -248.3,                    radec, 07:52:22.80,  -26:25:41.0,  (200.0 12000.0 -2.956 3.169 -0.5998),                          50x50       PKS,                243.16,  +0.37,     11 Jy,        ,  HII                               no   prob ext'd, NED               

# 20082021 11.7GHz: 15,15 [GOLD]
J0859-4731 | CTB 31,                                         radec, 08:59:07,   -47:31:24,    (750.0 12000.0 5.569 -0.9902),                                 50x50       PKS90,              267.95,  -1.06,    250 Jy,        ,  SNR                               no   prob ext'd 

# 20082021 11.7GHz: 0.5,0.5,0.5,0.5 [DESPERATE]
J0918-1205 | Hyd A | Hydra A | 3C 218 | PKS 0915-11,         radec, 09:18:05.65,  -12:05:44.0,  (1408.0 10550.0 4.729 -1.025 0.0130),                           10x10      phot,               242.93,  25.09,     43 Jy,  z=0.05,  S0; Sy 3; LINER; FRI   X          ok?  tot ext ~7'; main comp ~1.5'; tailed radio src             

JVAS J0927+3902,radec,09:27:03.0,+39:02:20.851,,11.234,720,INAF IRA 496/263

# 06112021 11.7GHz: 0.0 [NO]
#J0947+0725 | 3C 227 | PKS 0945+07,                           radec, 09:47:45.15,  +07:25:20.6,  (1408.0 4750.0 6.757 -2.801 0.2969),                            0.5x0.5    SDSS,               228.58,  42.29,      7 Jy,  z=0.09,  Sy 1.5; BLRG                      ok?  ~4'; FRII               

# 06112021 11.7GHz: [NO]
#J1008+0730 | PKS 1005+077 | 3C237, radec gaincal, 10:08:00.0160, 07:30:16.552

# 082021 11.7GHz: 0,0,0,0,0,0
#J1211-5309 | PKS 1209-52,                                    radec, 12:09:40.00,   -52:25:0.0,    (20.0 12000.0 -12.77 12.69 -2.528),                           50x50      PKS90,              296.95,   9.25,     62 Jy,        ,  SNR                               no   prob ext'd               

# 20082021 11.7GHz: garbage,garbage,garbage,garbage,indistinct,indistinct
#J1219+0549 | 3C 270 | NGC 4261 | PKS 1216+06,                radec, 12:19:23.22,  +05:49:29.7,  (20.0 6000.0 1.888 0.369 -0.1855),                              0.5x0.5    SDSS,               281.80,  67.37,     18 Jy,  v=2238,  LINER; Sy              X          no   double lobe ~ 7'; FRI                   

# 23082021 11.7GHz: indistinct,indistinct
#J122455+212245,radec, 12:24:55.25, 21:22:45.1,,CRATES

# 20082021 11.7GHz: 2.1,2.2,garbage,2.0,1.7 [DESPERATE]
